nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
DUCLOS;260;18;oui;2013;RUE LEONCE DUCLOS;DUCLOS (RUE LEONCE DUCLOS);;;Toulouse;31555;1573644.2138;2272827.68;1.433795957305;43.6449599546154
VAN DYCK;261;18;oui;2013;RUE ANTOINE VAN DYCK;DYCK (RUE ANTOINE VAN DYCK);;;Toulouse;31555;1574155.5463;2272336.7892;1.44024551973681;43.6406279902716
BORDEROUGE;262;18;oui;2013;CHE DE BORDEROUGE;BORDEROUGE (CHE DE BORDEROUGE);;;Toulouse;31555;1575449.4753;2272526.2864;1.45623608611347;43.6425484124326
IZAR;273;0;oui;2013;RPT LOUIS IZAR;IZAR (RPT LOUIS IZAR);;;Toulouse;31555;1570181.6876;2265580.9994;1.39260607283742;43.5791571884953
PLACE DES PRADETTES;275;0;oui;2013;PL DES PRADETTES;PRADETTES (PL DES PRADETTES);;;Toulouse;31555;1569877.9135;2265841.703;1.38878379916127;43.5814509455001
PLACE JEAN BAYLET;263;0;oui;2013;AV JEAN BAYLET;BAYLET (AV JEAN BAYLET);;;Toulouse;31555;1570686.1636;2266158.6464;1.39871460190206;43.5844422796351
PLACE SAUVEGRAIN;269;18;oui;2013;PL JACQUES SAUVEGRAIN;SAUVEGRAIN (PL JACQUES SAUVEGRAIN);;3105558180;Toulouse;31555;1569012.4328;2266796.197;1.37784158963306;43.5898907213525
ZAMENHOF;277;0;oui;2013;ALL DU DR LEJZER L ZAMENHOF;ZAMENHOF (ALL DU DR LEJZER L ZAMENHOF);;;Toulouse;31555;1568956.3908;2266302.9098;1.37726572030753;43.5854418001166
MARIN;276;0;oui;2013;CHE DU MARIN;MARIN (CHE DU MARIN);;;Toulouse;31555;1569151.8441;2265857.5452;1.37979179963735;43.5814678307114
TRENTIN;270;0;oui;2013;BD SILVIO TRENTIN;TRENTIN (BD SILVIO TRENTIN);;3105558356;Toulouse;31555;1573119.1879;2270508.8202;1.42782751470151;43.6240039579785
PLACE CAMPAN;254;0;oui;2013;PL LOUIS CAMPAN;CAMPAN (PL LOUIS CAMPAN);;;Toulouse;31555;1571306.5694;2266073.0222;1.40641531228392;43.5837779037735
CHÂTEAU DE L'HERS;257;0;oui;2013;CHE DU CHATEAU DE L HERS;HERS (CHE DU CHATEAU DE L HERS);;;Toulouse;31555;1577571.7283;2267838.0706;1.48358375360941;43.6007058527761
ROTONDE;256;0;oui;2013;AV DE CASTRES;CASTRES (AV DE CASTRES);;;Toulouse;31555;1577594.7856;2267363.165;1.4839754223613;43.5964357531643
SELLIER;255;0;oui;2013;ALL HENRI SELLIER;SELLIER (ALL HENRI SELLIER);;;Toulouse;31555;1574010.4566;2265261.3826;1.44007581965509;43.5769304760083
GONIN;267;0;oui;2013;RUE CLAUDE GONIN;GONIN (RUE CLAUDE GONIN);;;Toulouse;31555;1577545.3768;2264862.1116;1.48392256764421;43.5739197476364
LAFOURGUETTE;264;0;oui;2013;PL DES GLIERES;GLIERES (PL DES GLIERES);;;Toulouse;31555;1571588.7744;2263981.628;1.41039892852515;43.5650049724968
BORDELONGUE;265;0;oui;2013;PAS DU CANAL DE BORDELONGUE;BORDELONGUE (PAS DU CANAL DE BORDELONGUE);;;Toulouse;31555;1571833.339;2264312.9284;1.41334822229747;43.5680280611284
TOURAINE;266;0;oui;2013;RUE DE LA TOURAINE;TOURAINE (RUE DE LA TOURAINE);;;Toulouse;31555;1571896.9053;2264941.3696;1.41398810197613;43.5736943993495
GALLIENI;274;0;oui;2013;RTE DE SEYSSES;SEYSSES (RTE DE SEYSSES);;;Toulouse;31555;1572341.0819;2264965.9252;1.41948032091196;43.5739907256737
ANCELY;271;0;oui;2013;AV DES ARENES ROMAINES;ROMAINES (AV DES ARENES ROMAINES);110;3105550448;Toulouse;31555;1570620.7192;2270036.8092;1.39698816890331;43.6193313134776
ARÈNES ROMAINES;278;0;oui;2013;AV DES ARENES ROMAINES;ROMAINES (AV DES ARENES ROMAINES);;3105550448;Toulouse;31555;1570616.2287;2269466.6882;1.39706730933322;43.6141999519079
ESPAGNO;279;0;oui;2013;AV DE CASSELARDIT;CASSELARDIT (AV DE CASSELARDIT);;3105551748;Toulouse;31555;1570962.8379;2269396.0996;1.40137704448921;43.6136241578888
WAGNER;282;0;oui;2013;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);;3105557468;Toulouse;31555;1571978.7157;2268592.1032;1.41414761262649;43.6065621497464
CHARBONNIÈRE;280;0;oui;2013;RUE DE LA CHARBONNIERE;CHARBONNIERE (RUE DE LA CHARBONNIERE);;;Toulouse;31555;1574688.8007;2264912.9526;1.44855240067619;43.5739078905341
QUAI DE TOUNIS;27;22;oui;2007;QU DE TOUNIS;TOUNIS (QU DE TOUNIS);122B;3105558520;Toulouse;31555;1574082.159;2267717.4206;1.44039892005761;43.59904509413
LAFAYETTE;2;22;oui;2007;RUE LAFAYETTE;LAFAYETTE (RUE LAFAYETTE);21;3105554920;Toulouse;31555;1574488.5132;2268358.2984;1.44528393189637;43.6048803141654
PLACE SAINT ETIENNE;24;20;oui;2007;PL SAINT ETIENNE;ETIENNE (PL SAINT ETIENNE);14;3105557756;Toulouse;31555;1574804.2979;2267818.8124;1.44931801794139;43.6000778624828
PLACE ROUAIX;25;17;oui;2007;RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);1;3105558536;Toulouse;31555;1574492.7209;2267762.8736;1.44547250449936;43.5995226263566
PLACE DE LA DAURADE;11;28;oui;2007;PL DE LA DAURADE;DAURADE (PL DE LA DAURADE);2;3105552520;Toulouse;31555;1574024.3628;2267959.8964;1.43962745298722;43.6012175389831
PLACE DUPUY;43;22;oui;2007;PL DOMINIQUE MARTIN DUPUY;DUPUY (PL DOMINIQUE MARTIN DUPUY);14;3105552828;Toulouse;31555;1575246.2856;2267821.5834;1.45479063783504;43.6001760982675
DAURIAC - ESCANDE;42;23;oui;2007;BD PR LEOPOLD ESCANDE;ESCANDE (BD PR LEOPOLD ESCANDE);3;3105557151;Toulouse;31555;1575353.45;2267981.2736;1.45608133922493;43.6016309305582
POMME;3;19;oui;2007;RUE DE LA POMME;POMME (RUE DE LA POMME);62;3105556988;Toulouse;31555;1574503.2958;2268179.0476;1.44550808377576;43.6032696509439
CARNOT - LABEDA;21;22;oui;2007;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);63;3105555132;Toulouse;31555;1574879.9595;2268262.0356;1.45015368757085;43.6040791182071
VERDIER - GRAND ROND;65;27;oui;2007;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);2;3105553396;Toulouse;31555;1575067.0002;2267455.5708;1.45265398792774;43.5968525411427
JARDIN ROYAL;66;23;oui;2007;RUE DU HUIT MAI 1945;MAI 1945 (RUE DU HUIT MAI 1945);0;3105554272;Toulouse;31555;1574926.877;2267414.2102;1.45092834304742;43.5964570828108
FEUGA;69;20;oui;2007;ALL PAUL FEUGA;FEUGA (ALL PAUL FEUGA);11;3105556620;Toulouse;31555;1574290.8787;2267004.1292;1.44314720709442;43.5926608264324
OZENNE - NAZARETH;45;19;oui;2007;RUE THEODORE OZENNE;OZENNE (RUE THEODORE OZENNE);10;3105556448;Toulouse;31555;1574619.8059;2267400.8458;1.447129091192;43.5962857886915
CHATEAU D EAU;75;21;oui;2007;PL LAGANNE;LAGANNE (PL LAGANNE);12;3105554944;Toulouse;31555;1573781.7638;2267658.3318;1.43669274179426;43.598463086278
SEJOURNE - CATALANS;82;16;oui;2007;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);1;3105556648;Toulouse;31555;1573096.7767;2268468.9424;1.42802279230806;43.6056429267125
SEJOURNE  -  AMIDONNIERS;83;15;oui;2007;AV PAUL SEJOURNE;SEJOURNE (AV PAUL SEJOURNE);2;3105556648;Toulouse;31555;1573114.9158;2268469.913;1.428247207846;43.6056547159999
LASCROSSES -  PLACE ARNAUD BERNARD;90;26;oui;2007;BD LASCROSSES;LASCROSSES (BD LASCROSSES);3B;3105555080;Toulouse;31555;1573919.6666;2269078.0206;1.43807348919807;43.6112623008326
VALADE;29;19;oui;2007;RUE VALADE;VALADE (RUE VALADE);31;3105558676;Toulouse;31555;1573845.5982;2268392.2234;1.43731413300928;43.6050782529742
PLACE ANATOLE FRANCE;30;25;oui;2007;PL ANATOLE FRANCE;FRANCE (PL ANATOLE FRANCE);40;3105550272;Toulouse;31555;1573935.8954;2268526.8894;1.43840139062854;43.6063052572324
DUPORTAL -  LASCROSSES;88;25;oui;2007;BD LASCROSSES;LASCROSSES (BD LASCROSSES);17T;3105555080;Toulouse;31555;1573671.2751;2268965.6328;1.43502297471373;43.6102092923379
MERLY -  ARCOLE;57;15;oui;2007;RUE MERLY;MERLY (RUE MERLY);15;3105555896;Toulouse;31555;1574322.3325;2268974.372;1.44308450269496;43.6103968153611
RAYMOND IV;97;20;oui;2007;RUE RAYMOND IV;RAYMOND IV (RUE RAYMOND IV);00;3105557320;Toulouse;31555;1574998.6571;2269182.5336;1.45141348960701;43.6123826210174
BERALDI;33;15;oui;2007;RUE HENRI BERALDI;BERALDI (RUE HENRI BERALDI);11;3105554120;Toulouse;31555;1574360.6379;2268775.0894;1.44360465961975;43.6086098111715
CHAINE;54;18;oui;2007;RUE DE LA CHAINE;CHAINE (RUE DE LA CHAINE);10;3105551844;Toulouse;31555;1574025.2973;2268789.8316;1.43944808947861;43.6086864892571
SALENQUES;31;17;oui;2007;RUE DES SALENQUES;SALENQUES (RUE DES SALENQUES);7;3105558100;Toulouse;31555;1574023.7783;2268645.7968;1.43946241727089;43.6073900316408
PLACE SAINT JULIEN;53;24;oui;2007;PL SAINT JULIEN;JULIEN (PL SAINT JULIEN);0;3105557864;Toulouse;31555;1573822.3505;2268794.903;1.43693343205179;43.6086981702116
DUPORTAL -  CITE ADMINISTRATIVE;52;21;oui;2007;BD ARMAND DUPORTAL;DUPORTAL (BD ARMAND DUPORTAL);41;3105550492;Toulouse;31555;1573647.1216;2268784.3248;1.43476567041527;43.6085736106965
PLACE VICTOR HUGO;7;26;oui;2007;RUE DU REMPART VILLENEUVE;VILLENEUVE (RUE DU REMPART VILLENEUVE);6;3105557388;Toulouse;31555;1574587.5807;2268455.0412;1.44648864765214;43.6057674225483
STRASBOURG - JAURES;18;24;oui;2007;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);4;3105558328;Toulouse;31555;1574729.1487;2268510.6838;1.44822915254322;43.6062917135037
LOIS;6;20;oui;2007;RUE DES LOIS;LOIS (RUE DES LOIS);5;3105555304;Toulouse;31555;1574246.6443;2268391.1662;1.44228102933692;43.605135774453
ARCOLE -  BALANCE;91;23;oui;2007;BD D ARCOLE;ARCOLE (BD D ARCOLE);48;3105550428;Toulouse;31555;1574048.9419;2269109.7344;1.43966733128761;43.6115693218884
SAINT SERNIN  -  MERLY;56;14;oui;2007;RUE MERLY;MERLY (RUE MERLY);1;3105555896;Toulouse;31555;1574287.9975;2268825.1854;1.44269350834486;43.60904852145
STRASBOURG  - SARDANE;17;25;oui;2007;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);7;3105558328;Toulouse;31555;1574689.9228;2268524.7502;1.44774013990381;43.6064117784548
SAINT SERNIN -  GATIEN ARNOULT;55;13;oui;2007;RUE GATIEN ARNOULT;ARNOULT (RUE GATIEN ARNOULT);2;3105553780;Toulouse;31555;1574159.3354;2268826.712;1.44109967115332;43.6090407825795
PLACE SAINT PIERRE;28;22;oui;2007;PL SAINT PIERRE;PIERRE (PL SAINT PIERRE);6;3105557948;Toulouse;31555;1573742.9418;2268218.1866;1.43608294062241;43.6034948597108
ESPACE SAINT GEORGES;8;24;oui;2007;RUE PAUL VIDAL;VIDAL (RUE PAUL VIDAL);19;3105556660;Toulouse;31555;1574714.7777;2268169.0088;1.44812935018756;43.6032144995715
CARNOT ROLAND;22;20;oui;2007;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);24;3105555132;Toulouse;31555;1575004.5889;2268131.1136;1.45172699115784;43.6029215981204
CARNOT -  TROIS JOURNEES;20;27;oui;2007;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;3105555132;Toulouse;31555;1574830.704;2268329.5038;1.44952828207061;43.604678102742
CARNOT  - PERI;19;25;oui;2007;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);62;3105555132;Toulouse;31555;1574821.1322;2268384.1608;1.44939724813424;43.6051683857795
PALAIS NIEL;44;20;oui;2007;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);1;3105553396;Toulouse;31555;1574988.3636;2267566.7374;1.45165488885574;43.597839922459
GARONNETTE;50;23;oui;2007;AV MAURICE HAURIOU;HAURIOU (AV MAURICE HAURIOU);1;3105555804;Toulouse;31555;1574118.0228;2267196.264;1.44096279942018;43.5943610520498
PLACE DU SALIN;48;22;oui;2007;PL DU SALIN;SALIN (PL DU SALIN);18;3105558116;Toulouse;31555;1574364.0434;2267237.6992;1.44399954163806;43.5947749915482
DALBADE - DE GORSSE;26;21;oui;2007;RUE HENRY DE GORSSE;GORSSE (RUE HENRY DE GORSSE);9;3105554132;Toulouse;31555;1574282.8469;2267596.4468;1.44291181172947;43.5979899231196
PLACE DES CARMES;46;20;oui;2007;PL DES CARMES;CARMES (PL DES CARMES);37;3105551708;Toulouse;31555;1574472.6855;2267529.3296;1.44527793081158;43.5974175610187
NAZARETH -  LANGUEDOC;47;25;oui;2007;RUE DU LANGUEDOC;LANGUEDOC (RUE DU LANGUEDOC);12;3105555000;Toulouse;31555;1574476.9569;2267286.0472;1.44538657567543;43.595228903839
PARGAMINIERES;12;23;oui;2007;RUE PARGAMINIERES;PARGAMINIERES (RUE PARGAMINIERES);66;3105556540;Toulouse;31555;1574095.7334;2268334.7396;1.44042508491828;43.604602777324
