ID;LOCALISATION;TYPE;X_CC43;Y_CC43;X_WGS84;Y_WGS84
1;ROSCHACH RUE  (Aire de jeux);MODERNE;1574448.5467;2268347.4951;1.44479145532141;43.60477643442
2;ROQUELAINE RUE - BD DE STRASBOURG;BAYARD;1574432.775;2268941.1847;1.44445998134;43.6101165684348
3;MICHELET BD - Face N° 11;BAYARD;1575348.5136;2268191.3734;1.4559723845336;43.603520863034
5;PINEL PLACE MARIUS - Face N° 9;BAYARD;1576243.5378;2268074.3369;1.46708281159974;43.6026151379484
6;SAINT-SERNIN PLACE - N° 6 - RUE DES TROIS RENARDS;BAYARD;1574163.8322;2268667.3062;1.44119200103126;43.6076070022205
7;LAKANAL RUE - Face n° 12;BAYARD;1574123.5192;2268208.0936;1.44079830103849;43.6034676997265
8;SALIN PLACE - Face N° 18 PHARAON (proche Station VéloToulouse);BAYARD;1574362.5356;2267238.1246;1.44398077424258;43.5947785684918
9;WILSON SQUARE - côté taxis - Face n° 4 (Cinéma Gaumont);BAYARD;1574683.6984;2268338.7906;1.44770561297622;43.6047372438115
10;MARIE RUE - N° 10;BAYARD;1576185.6772;2268314.3963;1.46631199786855;43.6047660014937
11;ST EXUPERY AV - N°200bis Groupe scolaire Courrège;BAYARD;1576908.717;2265730.2721;1.47584699579763;43.5816289992827
13;MARCHE AUX COCHONS PLACE - BOURBAKI;BAYARD;1573656.363;2270093.3112;1.43457800152811;43.6203550026861
14;GLACIERE CHEMIN DE LA, N°14 - Groupe scolaire;BAYARD;1572483.0762;2272842.4345;1.41940337586039;43.6448970069963
15;EGLISE DE LALANDE (ENTREE CIMETIERE) - Face N° 20 Chemin en;BAYARD;1573414.2575;2273016.2515;1.43090261562014;43.6466183080962
16;HUIT MAI 1945 PLACE DU - RTE DE SEYSSES;BAYARD;1571363.7069;2263906.9989;1.40763099613952;43.5642949985115
